,text,author,created_at,bio,generator,location,hashtags
0,"@MattLech Pressured by her? And fwiw, I'm with Sam on this one. I heard literally the exact same story from my own grandmother. Cherokee blood, cheekbones, everything. And I never finished college due to depression, but I certainly didn't claim native blood to get in.",JanusNovo,2020-02-08 06:13:26,Seder/Thanos 2020,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
1,"Warren was this shitty about first nations people rights even back when she thought she was Cherokee and had ""the cheekbones"" to prove it. 

#DemDebate https://t.co/SbfpAQbcqZ
the trade deal Bernie refused to sign but Warren did will send tar sands through the keystone pipeline and allows fossil fuel companies to get around countries’ environmental laws, disproportionately impacting indigenous people fyi",gourmetguacho,2020-02-08 03:21:05,"STILL writing a Super Smash Cinematic Universe. 
I film weddings for money. 
Big hair. 
Aspiring dead person.
I go by any pronoun.","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
2,"For those that accept Warren's false claim of being Cherokee, you realize the only evidence she's ever offered to support it are ""high cheekbones"" and an ""elopement"", right? 🙄",pollysgdaughter,2020-02-07 04:24:13,Cherokee Genealogist and Blogger. ~~ Following or RT does not = an endorsement.,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
3,@GoGreen33333333 @conidave @ewarren She can't be racist she's got high cheekbones and is part Cherokee. 🤣🤣🤣🤣,j31550022,2020-02-06 23:26:10,None,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
4,@jgmonte922 @luca_vhc @tommyxtopher Well it really wasn’t her fault her grand pappy told her all those stories about the Cherokee part of the family and she does have the high cheekbones so there’s your proof,Dreamwrecker16,2020-02-06 05:58:22,Racist and homophobic comments will get you blocked.  She/Her #MFPeteSupporter. #ImWithTheGayDude,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
5,"@MSNBC @Lawrence Plus, I’m a Cherokee or at least 1/1024 Cherokee, and we don’t fuck around in my tribe. 

Did I tell you my mom had high cheekbones? 

Plus, I never used my fake ethnicity for personal gain. 

Yours 

Big Chief Cambridge Feather, elder in the Harvard tribe of fake Indians.",cretin_the,2020-02-06 04:00:08,I’m here for all the civility and mutual respect. Brexit. Former LP candidate . NUFC. Anti-Marxist. 2A. Israel. Milton Friedman. Anti-UN. Proud AGW denier.,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
6,"@TRHLofficial I didn't know your were CHEROKEE, I am as well! Also Osage and Delaware, Irish, Scottish, Asian, African American, Hebrew, Multi-European and god knows what else... I'll bet the Cherokee is were you got those BEAUTIFUL CHEEKBONES!! https://t.co/9GkSVMtFgl",JuenoMt2,2020-02-06 02:58:31,"Likely a Libertarian, but I don't want to be labeled. I'm not always right, but prove me wrong...","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
7,@chottsfired @bessbell And I’ll admit Liz is a lot more than a set of great Cherokee cheekbones but if they wanna insult everyone else’s candidate I guess here we are,StreetsAheadWV,2020-02-04 21:46:10,people forget Frasier was a spin off,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
8,"@Shaker_aphra @ksqueens @AngryBlackLady If you live in the Midwest you know tons of families like this, that think they have some Native ancestry because of high cheekbones or poison ivy immunity. There's a name for people like this: ""Cherokee princesses."" Knowing that context and still touting this is a terrible look.",LlamaLitany,2020-02-03 17:34:57,"thanks for checking in, I'm 🎶still a piece of garbage 🎵","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
9,"@USMarine_Vet Me tweets: Hey remember when Elizabeth Warren claimed to be Cherokee and got a DNA test that proves she wasn't, but said she was anyway!! 1/1024!!

Mamma said we Cherokee have high cheekbones!! 😂 

Lizzy: Kill him!

#WhoDecidesWhatIsTrue https://t.co/Sxx5MuoQ8b",MeRorschach,2020-01-31 10:16:07,"It used to be Democrat vs Republican, Left vs Right. We're really just Americans/Patriots against The Establishment/Globalists/Cabal/FakeNewsMedia.
#Unity","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
10,"@TheBrightgeist @GothamGirlBlue at least he wasn't voting for Nixon and pretending to be cherokee cause of his ""high cheekbones""",Patar4950,2020-01-31 00:14:51,"time travelin, honda swervin, book learnin","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
11,"@lesbrains Not me but my sister and then the indignant reaction of white women -- ""my great great aunt on my nephew's side was one sixteenth Cherokee too!!""
as if my sister has no legitimate rights to her features.  As if we need to prove blood quantum to explain our noses, cheekbones, hair",quibblesandbits,2020-01-27 15:00:15,"Mom Disabled  SacFox.Cherokee.Lakota Fat Activist Trans NB Pan Poly Xennial Poet Badass Warm & Misanthropic Gemini

IG: quibblesandbits","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
12,"@Ringingo @Tony__Heller Oh.. I had it fingered many,many moons ago.
even before fuaxcohantas of the slapaho tribe declared with forked tongue. ""high cheekbones and mayonnaise crab salad of pow wow chow"" made one Cherokee.",CraigWi71497020,2020-01-24 06:48:35,"dont follow me.
it's to your detriment. I'm old and know things. I speak my mind and truth.  it's bad here.","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
13,"Hey, would it be offensive if I started telling people I’m Cherokee? I am from Oklahoma and my great uncle had high cheekbones. It’d be really great for my career!",Dussttyyy,2020-01-21 03:13:59,I’m... going through some stuff right now,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
14,@jaywwalker1 @pollysgdaughter @zacrussell93 @thespinsterymc @KimTallBear @rebeccanagle Of course Cherokee people have been criticizing a white woman for self-ID’ing as a “minority” and in affirmative actions stats as a tribally affiliated Native on the basis of racially reductive stereotypes like “high cheekbones” but avoiding Indigenous communities for years,PrairieFire2016,2020-01-21 01:00:47,,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
15,"@AlysonMetzger ""Mah granpawpaw tole me ah was a Cherokee and ah believed him even tho' anyone with an IQ higher than a chimp woulda said 'You're fulla shit.'  So ah didn't lie!""

She does have nice cheekbones",DornigSilber,2020-01-20 20:33:23,"I've seen things you people wouldn't believe...attack ships on fire off the shoulder of Orion.  All these moments will be lost in time, like tears in rain.","{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
16,"@thedonofyreka @ANTIFA_lawyer .@johnlegend voting @ewarren knowing her Republican past, her defending DOW from breast cancer litigants, her leverage of rumors about her “Cherokee” high cheekbones into professional advancement and her abandonment of #medicareforall is a racist anti-woman anti-poor agenda!",NoDumbies,2020-01-20 01:25:51,"A berniestan in yinzerlandia. anti-apartheid, anti-fascist, drawdown, #m4a #gnd","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
17,"@elizabetmajerus imo obliviousness is of a piece with her opportunism, stuff like the Texas bar registration shows she exploited her identification in a professional context, and what are her anecdotes about cheekbones or being “part Cherokee and part Delaware” but entitled self-aggrandizement",KumarsSalehi,2020-01-20 01:16:49,Prufrock with a Kalashnikov. Cohost a fun left-wing podcast called @deleteuracct,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
18,Warren will not be Biden's VP pick. He's just stringing her along to play defense. Imagine the ads Trump will run: Vids about her high Cherokee cheekbones and her Native American Mom eloping. While Biden is yelling to  kick old people off social security. Biden's playing Warren,dugpol,2020-01-19 22:38:45,star trek (DS9!) Gay! Audiobook addict. Feel free to ask for recommendations,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
19,"@ElieNYC @ewarren I read this article and nowhere do you mention her claim to be a woman of color.  When I read article I see the video of her in her neat suit laughing about her paw paws high Cherokee cheekbones that ALL indians have...no, I don't believe her or your take on this.",stano711,2020-01-19 17:42:20,Artist. Museum Facility Manager. Extensive professional background in live events tech production management.,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
20,"EW indicated that she was Cherokee in her applications to the bar. She continued to do so as a professor at Harvard, allowing herself to be lauded as the university’s first woc on staff. She used race science and cited her pawpaw’s cheekbones. She didn’t make a mistake. https://t.co/ULHjPd4btM
ANYONE who can’t see or understand how this could happen and who INSIST on continuing to vilify @ewarren over this even after I and many others have shared that they too were told they were part Native American &amp; BELIEVED it... 

Your agenda is showing.",indi_screet,2020-01-19 15:38:19,hi i’m a leo,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
21,"@YNB Liz wrote American Indian and/or Cherokee on law licenses and Harvard registeries for several decades (and she moved forward with her 1/1024 DNA stunt to own Trump just 14 months ago, at age 69) because her Mamaw talked about her high cheekbones... come on https://t.co/J4fBBG0WKu
Jesus that's embarrassing https://t.co/hADUTyf6R4",ThomasIsOnline,2020-01-19 00:34:24,Bernie 2020 / Climate change is the biggest threat to the world🌹,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
22,"This ain't it. Lizzie wasn't just tellin her homegirls that she got good hurr and high cheekbones cuz she got Cherokee in her family. She was full on CLAIMING that shit on official documents and being included as ""a woman of color.""

It was absolutely exploitative. https://t.co/y6XAR5nQEK
Real talk, I’m from Cleveland &amp;  everyone in my family was told that we were Erie on our grandmother’s side. I proudly told dang near everyone I ever met.

I was “six years ago” years old when @Ancestry told me #Nope!

Folks need to lay off @ewarren about that for real for real.",AdamantxYves,2020-01-18 20:18:25,"🖤 '...But what we do have, we can polish. We can polish it, honey, til it blinds them.' - Duchess Milan 💜","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
23,"There's a guy at school that look like he came out of a black and white 1860's photograph. His cheekbones, nose, hair. Choctaw and Cherokee. You could NEVER mistake him for anything else. He either Indian or ndn. That's it xD https://t.co/pTj2iuwT6i
They right in a way. But NOWADAYS some of us look diff. Lets not act like ancestral features aren’t still present. You can look at someone native and be like OH THEY ARE without a doubt native. And you can look at some natives and not be sure nowadays. https://t.co/M2PYYZEFK8",justauneg,2020-01-18 19:00:33,"Just an Uneg from NC
Cherokee Cultural studies and Language Revitalization major","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
24,"I can say with 100% certainty that us ndns are so sick of hearing about Cherokee heritage due to high cheekbones and red undertones and hair texture. People don’t even look through the family tree, it’s just automatically ndn. https://t.co/GVtq0KdfFS
@YNB @Ancestry @ewarren Same with my fam! It‘s a thing. We need to have that conversation instead. The need to connect..

Read this article years ago...we thought our fam was part Cherokee like so many...it’s a myth to hide more of America’s real past.

Read on here:

https://t.co/widVYyEJ9U",TheRedHouseWife,2020-01-18 18:02:03,I'm here to help the modern woman balance life's overloads with minimal effort,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
25,"@YNB @Ancestry @ewarren I’m from Arkansas and was told my entire life I had Cherokee in me - high cheekbones, they said. I did a dna profile and have 0.1% Native American - about the same as warren. So that doesn’t actually bother me at all.",kaeliae,2020-01-18 17:33:45,"Likes to rage tweet in all caps while hitting the shift key; Veteran, etc.","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
26,"@YNB @Ancestry @ewarren Ma'am, my mom still insists she's part Cherokee even though her DNA provided clear evidence that she is Not!  Just because Big Mama had strong cheekbones and long straight black hair, she is holding on to that myth. All I do is chuckle. https://t.co/vndZVNGBnu",TClerk,2020-01-18 16:36:36,Mommy. Dyslexia Practitioner. Real Estate Investor. University of Texas at Austin grad. Lakers fan since 1979! ( Showtime era) Life Path number is 6 🌎,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
27,"@YNB @Ancestry @ewarren I thought, and was told, we were part Cherokee until I did my DNA. Made me think of this article. https://t.co/iX6E3N6gXv",JudyHallHoward,2020-01-18 16:35:12,Vote like your life depends on it.,"{'link': 'http://twitter.com/#!/download/ipad', 'name': 'Twitter for iPad'}",,[]
28,"@YNB @Ancestry @ewarren Same with my fam! It‘s a thing. We need to have that conversation instead. The need to connect..

Read this article years ago...we thought our fam was part Cherokee like so many...it’s a myth to hide more of America’s real past.

Read on here:

https://t.co/widVYyEJ9U",TheTeriGamble,2020-01-18 15:34:18,(she/her) Actor http://terigamble.com | Horror Podcast Co-Host @WeRIntoSurvival | Karaoke Jockey @vipkaraokela #terioke | RPG @12SidedStories | 🎭 @SecondCityLA,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
29,"@MinxMirt @DynastyClaire Also famous for high cheekbones: Slavs and Scandinavians. Not exactly a rare trait or even stereotype. Real question is whether they thought her ancestor was a ""Cherokee princess"" which is not even a thing. Many white families have that belief though. No common laborers for them.",axiomsofdomini1,2020-01-18 04:55:54,,"{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
30,"@PepePierce She repeated the racist stereotype about her grandfather having high cheekbones. She said in interviews there was recorded evidence of her Cherokee heritage when there was none. She ignored indigenous critics again and again here, no I don't think she was just an idiot",100GBodhisattva,2020-01-18 01:08:50,I will always love you,"{'link': 'http://twitter.com/#!/download/ipad', 'name': 'Twitter for iPad'}",,[]
