,text,author,created_at,bio,generator,location,hashtags
0,"@wsternks @altNOAA The whole Pocahantas slur is so dumb. My boyfriend's family had a family story of a grandma who was Cherokee. A DNA test showed zero native American, but 1% from Benin. His granny was black and passing. It happens. I think she handled it fine.

She's cool.",Actor1,2020-02-08 15:36:35,"Older than dirt, younger than springtime, crazier than most. Truth, justice, equality and love will always trump hate.","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
1,I don’t even get mad when pretendians and karendians claim they are Native cuz they are Cherokee or their __ grandma is a princess of some bullshit cuz WE DONT HAVE PRINCESSES. So I know you lying. But ok.,sirensenseibam,2020-02-08 15:01:16,"BAMBI • Goshute ~ Paiute & Shoshone on Moapat Territory • If you are white, don’t waste your time. There’s nothing here for you cuh. • Vegas","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
2,"@MamoudouNDiaye You're brilliantly funny. 🙂
Much love from a descendant of entitled people with colonial complexions and one Cherokee Grandma. 🙂",Nettie05705192,2020-02-08 04:35:45,"Dog luvin, Wine drinkin, Book readin, Nap takin, Turquoise wearin, Embarrassing Single Mom🥂🥡🐕🍉👗📚❤🤗","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
3,@TrumpWarRoom My great great grandfather was Cherokee. When I was young my grandma told me never to tell anyone your part Indian. He had his farm taken from him and she uses the Cherokee name to promote herself? She makes me sick...,teser1,2020-02-08 03:10:46,,"{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
4,@thedrsec @js4uscongress @mitchellvii @SpeakerPelosi Waiting for the response that will totally show he’s a tribal citizen and not some white dude who was told he had a “Cherokee Princess” great-grandma no one remembers the name of https://t.co/2FSVr2W3Fl,natejgire,2020-02-07 21:59:23,"I like maps, cooking, politics and policy, not that order. #RPCV #GoBlue #StarWars. Freshly minted dad.  Voice actor wannabe. Views are just mine, folks. He/Him","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
5,"@ajohon @jan_NYC1 @ryanfmassey @KashJackson2018 @AOC @realDonaldTrump Ma'am, you seem to be stuck on last century and hold a grudge. My great grandma was a Cherokee, and saw her share of slavery and abuse. But we still have millions of slaves today in USA, dependent on government welfare. Let's get them out of the Plantation. Today, not 1865.😉",marte616,2020-02-07 15:23:43,Retired US Navy CPO/spook/Veteran 33 yrs.🎖️🇺🇲🇵🇷 No validation sough or approval needed.😎 My Tweets are exclusively my own opinions based on experience.😋,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
6,"@nan0werx @mspeggy50 @tedcruz Same! My great great grandma was 1/4 Cherokee, according to “family lore”. Not according to ancestral research and DNA. 😂",fuzzychimpcom,2020-02-07 11:43:28,Husband. Father of chimplings. Opposable thumbs. Conservative. Christian. Occasional publisher of progressive news parody. #ProLife #America!,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
7,"@proxcee Chew on licorice root.
And my Cherokee Grandma's fullproof remedy recipe: oregano tea, served at room temperature, sweetened with honey or sugar.
(I know, it sounds gross, but it works and it's not so bad)",MarisaInCali,2020-02-07 03:00:31,"Thank God For America & For President Trump. Sick of Leftist Mob Bullying #InGodWeTrust, #LatinosForTrump #MAGA #Trump2020🇺🇲🙏","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
8,@steve45220 Main destination is Cherokee where my grandma lives. Do you know of any weird sights? I'm starting to look up folklore and haunted spots.,Alvin_Fox,2020-02-06 21:26:18,"I'm bad and that's good. I will never be good and that's not bad. There's no one I'd rather be than me.

19:22.4","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
9,@CNNPolitics I  born in Alabama and Cherokee/ Creek and live there I know it’s in 1962 they would not let my Grandma vote! You know Dixiecrats your party Democrat’s! So that what expect from you!,BishopJamesWGi1,2020-02-05 17:28:18,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
