,text,author,created_at,bio,generator,location,hashtags
0,"@UrsulaV @NeolithicSheep @PasturesPolitic @thebiologistisn I grew up in western NC and the Cherokee great-grandmother story is probably thicker there than anywhere but Oklahoma (for obv reasons).

We had suspicion in our family about a potential Chickasaw relative, but only because of circumstances and unclear records.",MTBinDurham,2020-02-08 21:26:39,"Just this guy. This is my personal ranty acct. Cooperatives, politics, religion, vulgarity. Academic alter ego is elsewhere. he/him or whatever","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
1,"@MattLech Pressured by her? And fwiw, I'm with Sam on this one. I heard literally the exact same story from my own grandmother. Cherokee blood, cheekbones, everything. And I never finished college due to depression, but I certainly didn't claim native blood to get in.",JanusNovo,2020-02-08 06:13:26,Seder/Thanos 2020,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
2,"This is why I am voting for Elizabeth Warren. My Scots Irish Grandmother born on a dirt floor in Arkansas carried the shame of being Cherokee. It was not fashionable. Racism is horrid. And, Warren would know if she heard her mother or grandparent speaking about that. https://t.co/uIwdJjVb0u
Top three moment of the night. @ewarren checked Buttigieg. Playtime is over, Pete. No more watching effing cartoons. https://t.co/ks8liRegIT",JedhiHeart,2020-02-08 05:09:05,,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
3,@kejames My grandmother was 1/4 Cherokee and I have enough Cherokee blood in me so I never get sunburned. I've lived and worked on 2 reservations and they all recognized my Native features even if I'm white. I learned to barter and they gave me tons of fresh salmon!,icarus_two,2020-02-08 04:38:21,"#TheResistance #FBR #25thAmendment #FuckTrump  #MeToo #TrumpRussia #TrumpCrimeFamily Disabled, Army Vet, former Girl Scout & hippie. 🌊🌊🌊","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
4,"@JanLNye My great grandmother actually was Cherokee, but turns out (and we only learned this recently thru dna testing) my mom's dad is not her dad. 

So my mom and sister and I have no Cherokee ancestry but we thought we did.",MKOdierAuthor,2020-02-08 03:12:04,"Feminist. Writer. Lover of margherita pizza, the perfect hat, and the Oxford comma. Rep'd by @VeroniKaboom","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
5,"I’m as guilty as you are, the inheritance just didn’t reach down to my generation. But the “run for the Cherokee Strip” was made by my great grandmother and great aunts. The three ladies staked out three farm claims in Indian Territory, now known as Oklahoma. https://t.co/j4TQK4VOZH
@BLMNational @realDonaldTrump There was no ""taming,"" just genocide. Signed, a white/nonNative sixth generation Kansan who inherited a farm on stolen land.",jopheir,2020-02-08 02:52:42,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
6,"My great grandmother was Cherokee and for some reason I been looking at Native American tattoos, so today I’ve decided that my next piece will@be a tribute to her, to help me dig deeper into the culture cause man I swear I feel connected to her🙏🏽",The_ChineseGod,2020-02-08 01:20:05,Weirdo alert🖖🏽🍱🈺🈯️ Alcorn State23♓️⚠️,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
7,My grandmother was a Cherokee Indian and my grand parents are from  Germany in the 1890's. These people are probably unaware if they are even  genetically connected...propaganda stunt...nobody is this stupid.,G54114396,2020-02-08 00:05:03,Unicorns,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
8,"@raccorns @davidhogg111 My great grandmother, on my mothers side was full blood Cherokee / Blackfoot. She was a hard and practical woman. She never let it define her or us.  I didn’t get my federal native id till I was three, when we moved back to Alabama. And I’ve never used it to get a free pass.",GhostingBy,2020-02-07 23:50:43,"Just your average sarcastic bastard, who enjoys sharing my charming insights. If you don’t want the truth, don’t ask.","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
9,"@michaelharriot My great grandparents &amp; grandmother are all Cherokee and Pacific Islander and apparently, the superstitions/sentiments were similar. Don’t flush or take a bath if there’s a storm. Don’t go out of one door in back in another. I’ll give you something to cry about. Something....",frazzled31,2020-02-07 23:37:20,"NO LISTS!!! #MOMof3 (2 are LGBTQ+🏳️‍🌈) Nature lover,Wanna-Be Activist,❤️film/music/books/humor.Photography,Chronic Illness Warrior #FTrump #Resist #Impeach45","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
