,text,author,created_at,bio,generator,location,hashtags
0,"@BillyMayhem23 @carissarenard @a_Tatge @ZachWahls @LOLGOP @ewarren A huge chunk of Oklahomans, maybe even a majority, believe they have some trace of American Indian blood. The reasons for this, and the accuracy of these beliefs, are complex. See https://t.co/og7erRoxIE and  https://t.co/GfOnkT4p6E. But her DNA results validated her family lore.",ddubois1972,2020-02-03 17:32:43,,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
1,"Non natives stay trying to convince me they’re “part Cherokee” or have “Indian blood.” Bitch, what part? Where is the blood? That’s gross and you’re weird for thinking this conversation is about your fake nativeness.",_AirYouBreathe_,2020-01-28 02:24:16,She Who Paints The Sky | Indigenous | Queen of the Fall | I am a faint echo of my former self | The ceiling is the roof | UNC 16,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
2,"@OceanPatriot9 @AnastasiaRenae2 @ChivalryGame @PaulaP1968 @Carolbiskner1 @lee210n @homelessadvisor @SoLatinBarbie @JeanetteDuff4 @jck53 I've got Cherokee Indian Blood in me! People often mistake me for Mexican/Black Bec my skin color. I'm ""tanned"" yr round😝🥰But this little one is mixed and is he Adorable or what?!!!! I love ALL🥰💞He is NOT wanting to go home but he has school 😔Brought him to the beach w/us💞 https://t.co/kAT8snXcbD",GinaD4793,2020-01-27 23:40:36,"God, Family, Friends 🙌🏽❤️🙌🏽 #GoDAWGS🏈🐾🏈 ~LiveLaughLove~ ❤LoveALL❤ #LoveWins #KindnessMatters $Gina4793","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
3,"@MikeWiseguy Well, I have Cherokee Indian blood running through my veins and I am a die hard Florida State Seminole fan, a die hard Atlanta Braves fan, my high school is the Irwin County Indians and although I'm a Falcons fan, I will be pulling for the Chiefs in the super bowl. Chop that!",osceolaforever,2020-01-20 14:24:06,"Father, Husband, Avid Golfer, and  Florida State Seminole fan forever!","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
4,"@warrenhelprin @mj_lee * She grew up in OK.
* I grew in OK.
* 1/2 the state including those I grew up with had Indian blood in it (Cherokee, Choctaw, Creek, etc.)
* https://t.co/F7EnPDxPL1 and Genealogy wasn’t a thing 15 years ago let alone 40 &amp; 60
If the fam said you had Indian blood, OK guess I do",Grant_Case,2020-01-20 04:00:27,,"{'link': 'http://tapbots.com/tweetbot', 'name': 'Tweetbot for iΟS'}",,[]
5,"@travisakers There could be a minute amount of Indian blood not big enough to show up. I have same situation with a great-great-great grandmother whose grandchildren said she was part Cherokee, who looked like it and with certain family history oddity things that add to the likelihood.",ledgerROBIN,2020-01-18 22:19:54,"Retired 12/06/15 from 35 years writing full time @theledger in Lakeland, FL. on education, health, medical topics. Still freelancing for Ledger's Your Health.","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
6,"I was born in Tulsa and was told we were part Cherokee and Creek.  Years later, our mother applied for membership in the DAR (because of an early ancestor coming to the US landing in Georgia) and was turned down for having Indian blood.  Found out in 2017 when I had my DNA done. https://t.co/huHFREEcii
I grew up being told my family “had Cherokee blood.” I just always assumed that was true and even would tell people I was Irish/German with Cherokee. Turns out it was family folklore and I verified it with a genogy study.

Does that make me a liar? Nope. https://t.co/HncuYvTKgW",sally3213,2020-01-18 22:17:14,"Democrat, lover of cats, dogs and all things furry, proud aunt to many","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
7,"@SNAFU_Sara No indian blood. However, while working on the Rez, I learned most people who falsely claim Tribal Ancestry, say (insert deceased relative) was Cherokee. 

And likely the closest they were was driving a Jeep Cherokee.",Paddy_YWFMS,2020-01-18 20:55:18,"Army Vet. Former Cop. Current ARNG AGR. A retirement will be nice, but so could some sanity. There’s a family I’ll tell you about. Common disclaimer.","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
8,"@brettipher @kallmekam_ @CitasSanoe I do,i have cherokee indian blood and my hair grows back like peach fuzz the next day😂,also i have a widows peak so thats a pain in the ass",deethaguyy,2020-01-18 18:23:04,Instagram @deethaguy,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
9,"@anthonyzenkus @edokeefe @ewarren @BernieSanders Elizabeth Warren is not my first choice, however I was told repeatedly (and believed) my great grandfather was a full blooded Cherokee Indian. I’m 74 years old and only found out 2 years ago when I took a DNA test that I didn’t have a drop of American Indian blood. So.....",maryslo,2020-01-14 06:20:03,"Hiker, animal lover, believes that education and health care are something Americans should invest in .......","{'link': 'http://twitter.com/#!/download/ipad', 'name': 'Twitter for iPad'}",,[]
