,text,author,created_at,bio,generator,location,hashtags
0,@CherokeeDassX Looks so thick and sexy Cherokee. I like that 💋💋💞,Dimitar52558984,2020-01-28 13:45:04,,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
1,"If I get the Jeep Cherokee I’m putting black rims on it and I’m making sure it comes with that sexy ass sun roof. I’m road tripping everywhere. 🚗 

Drive-In movies are going to be lit!",myteacherafreak,2020-01-23 17:36:28,(18+) SEX is ART. I am the creator. Subscribe to see me naked. Subscribe to see me use a man as my canvas. NO MEETS/BOOKING Chat 💭 ⤵️,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
2,"Adult Cherokee Mistress Sexy Costume - 
https://t.co/tee3GQCMt5
Are they planning a bonfire tonight? Put on your Adult Cherokee Mistress Sexy Costume and join the fun! Each two-piece set comes with a white corset top and booty shorts with floor-length fringe. Gray ... https://t.co/J8W13nuOtn",LadyVibeUK,2020-01-18 23:27:30,,"{'link': 'https://ladyvibe.uk/', 'name': 'LadyVibe'}",,[]
3,@rhapiu Happy Birthday Sexy Luscious and Gorgeous Cherokee have a lovely day sweetheart xxx,RobertS49256242,2020-01-12 11:40:02,,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
4,Ends SUNDAY NIGHT! EROTIC #FEMALEMUSCLE fitness models DEVON MICHAELS and CHEROKEE in sexy CLIMAX sexfight contests! STUNNING bods! #catfight JEWELL MARCEAU guest! https://t.co/TZUgZZz4vD https://t.co/PEsizLN8tX,Topclassics4you,2020-01-05 02:48:00,"Female wrestling, catfight, female muscle, FBB, foxyboxing, mixed wrestling. Visit my ebay auctions for pics!","{'link': 'https://about.twitter.com/products/tweetdeck', 'name': 'TweetDeck'}",,['FEMALEMUSCLE']
5,"i’m sorry but the sex appeal cherokee men carry each and every day????? the tattoos, huge gauges, LOUD and bold voices... damn our ancestors really said it’s a cultural requirement that we’re sexy.... i love being Native like HUH??? WHAT?? i know u want this ****",nolanblakeyboy,2019-12-23 22:27:01,𝓲’𝓶 𝓭𝓸𝓲𝓷𝓰 𝓪𝓶𝓪𝔃𝓲𝓷𝓰 𝓼𝔀𝓮𝓮𝓽𝓲𝓮,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
6,"TELL US ABOUT YOURSELF

1. Rod
2. Me, myself, and I
3. So What
4. 759
5. IG
6.D
7. college
8. Panamanian, Irish, and Cherokee
9. 2
10. 2
11. Entitled fuckers
12. 2007
13. LPG
14. Crazy, Sexy, Cool...

drop an emoji and i'll send u the questions💙",such8jerk,2019-12-23 20:01:09,,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
7,"@markoftheD Nobody is suggesting we repatriate algebra, or credit the industrial revolution to the Greeks.   White ladies stealing family taco recipes and profiting, dressing as a sexy Cherokee at Halloween and causing native peoples to feel that is how they are seen and represented...",BiblioDeviant,2019-11-27 10:21:28,"Bookseller at Kearns Rare Books & Curiosities. Interests include books, being a bookdealer for as long as possible and not awakening the Elder Gods.","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
8,Cherokee - Stop Bullying Me And Fucking My Mom https://t.co/vDEeKH2ipI # #porn #gifs #tits #teen #sexy,porn_gifs,2019-11-22 07:14:32,The Freshest Porn Gifs on the internet!   Powered by @pornrulez  vids @sexy_vids  Teens @iloveteens2 Bikini Babes @SwimSBabes Cams @pornrulezcams  #SexPositive,"{'link': 'http://pornrulez.co', 'name': 'Pornrulez.co'}",,"['porn', 'gifs', 'tits', 'teen', 'sexy']"
9,"While most Esperantidos aim to simplify Esperanto, Poliespo (""polysynthetic Esperanto"", c. 1993) makes it considerably more complex. Besides the polysynthetic morphology, it incorporates much of the phonology and vocabulary of the Cherokee language. ok so that SOUNDS sexy",kertenkeller,2019-11-16 21:32:37,Jersey City stabbing victim tells cops he'll handle the situation his 'damn self',"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
